Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
261,Southern California,28,13,15,0.464,3.13,6.52,8,10,7,7,6,6,2111,2206,,,0.374,0.36,0.519,49.6,51.3,,5.7,0.487,17.4,,0.248,1145,746,1727,0.432,191,621,0.308,428,646,0.663,358,1020,383,249,93,428,577
262,Southern Illinois NCAA,30,25,5,0.833,10.7,2.64,17,1,13,1,11,2,2131,1889,,,0.304,0.309,0.524,50.5,53.9,,5.9,0.495,15.1,,0.21,1200,787,1775,0.443,185,548,0.338,372,540,0.689,393,1057,424,302,91,360,576
263,Southern Methodist,30,12,18,0.4,0.69,4.79,5,13,4,8,5,8,1937,2060,,,0.337,0.36,0.519,47.1,54,,5.2,0.489,19,,0.227,,693,1607,0.431,187,578,0.324,364,542,0.672,319,949,374,225,88,438,476
264,Southern Mississippi,28,13,15,0.464,-1.7,3,6,10,8,4,2,10,1817,1912,,,0.381,0.246,0.498,52.1,52.9,,4.7,0.461,18.4,,0.254,,652,1546,0.422,121,381,0.318,392,589,0.666,337,1016,345,195,73,413,513
265,Southern Utah,28,10,18,0.357,-8.38,-0.61,6,10,7,6,3,11,1804,1947,,,0.399,0.317,0.573,46.1,52,,4.4,0.548,21.3,,0.267,1130,636,1324,0.48,178,420,0.424,354,528,0.67,211,789,331,219,65,427,502
266,Southern,28,12,16,0.429,-13,-12.78,9,9,8,4,4,11,1947,1930,,,0.372,0.258,0.506,48.5,46,,7,0.479,19.2,,0.233,1125,718,1636,0.439,130,422,0.308,381,609,0.626,374,965,330,257,104,458,572
267,St. Bonaventure,28,7,21,0.25,-7.09,4.19,3,13,7,6,0,12,1904,2220,,,0.254,0.398,0.488,44.3,51.7,,3.3,0.457,15.9,,0.182,1125,683,1739,0.393,222,692,0.321,316,442,0.715,346,919,353,212,54,369,542
268,St. Francis (NY),28,15,13,0.536,-7.22,-8.76,12,6,8,4,6,7,1997,1954,,,0.307,0.438,0.53,48.5,53.7,,7.5,0.505,18.5,,0.204,1125,702,1644,0.427,258,720,0.358,335,504,0.665,307,981,377,241,115,428,597
269,St. John's (NY),27,6,21,0.222,-1.08,7.85,1,15,5,11,1,10,1673,1914,,,0.269,0.237,0.461,49.7,45.5,,7.7,0.434,18.6,,0.172,1095,638,1608,0.397,120,381,0.315,277,432,0.641,401,995,290,217,117,414,484
270,Stanford NCAA,32,30,2,0.938,17.46,4.34,17,1,14,0,10,1,2356,1936,,,0.368,0.262,0.566,55,60.4,,8,0.527,17.9,,0.276,1280,849,1771,0.479,169,464,0.364,489,651,0.751,366,1178,513,206,140,453,573
